Id	Lat	Lng	Nb
0	24.365443	88.602559	0	
1	24.363523	88.604529	5
2	24.361795	88.627051	12
3	24.367206	88.606861	10 
4	24.366714	88.617953	11 
5	24.370150	88.620992	7
6	24.369076	88.624424	8
7	24.374996	88.622174	19
8	24.370362	88.608506	10
9	24.374515	88.604045 	15
10	24.367824	88.601172	8 
11	24.375599	88.592538	10
12	24.369511	88.589896	14
13	24.366106	88.597434	9
14	24.368375	88.581021	11
15	24.376189	88.560813	10
16	24.375017	88.563234	8
17	24.379985	88.564610	15
18	24.372250	88.582401	14 
19	24.376843	88.586310	8
20	24.376424	88.589081	9

