Id1	Id2	Distance (m)	Duration (s)
0	0	0	0
0	1	292	52
0	2	2512	452
0	3	478	86
0	4	1565	281
0	5	1938	348
0	6	2250	405
0	7	2251	405
0	8	813	146
0	9	1019	183
0	10	300	54
0	11	1517	273
0	12	1359	244
0	13	524	94
0	14	2204	396
0	15	4391	790
0	16	4120	741
0	17	4167	750
0	18	2176	391
0	19	2076	373
0	20	1830	329
1	0	292	52
1	1	0	0
1	2	2288	411
1	3	472	84
1	4	1404	252
1	5	1822	327
1	6	2106	379
1	7	2194	394
1	8	860	154
1	9	1222	219
1	10	586	105
1	11	1809	325
1	12	1624	292
1	13	773	139
1	14	2440	439
1	15	4644	835
1	16	4371	786
1	17	4436	798
1	18	2441	439
1	19	2365	425
1	20	2121	381
2	0	2512	452
2	1	2288	411
2	2	0	0
2	3	2130	383
2	4	1071	192
2	5	1113	200
2	6	852	153
2	7	1548	278
2	8	2105	378
2	9	2724	490
2	10	2704	486
2	11	3816	686
2	12	3858	694
2	13	3036	546
2	14	4717	849
2	15	6893	1240
2	16	6625	1192
2	17	6636	1194
2	18	4667	840
2	19	4450	801
2	20	4173	751
3	0	478	86
3	1	47	 84
3	2	2130	383
3	3	0	0
3	4	1124	202
3	5	1467	264
3	6	1790	322
3	7	1775	319
3	8	388	69
3	9	861	154
3	10	580	104
3	11	1724	310
3	12	1736	312
3	13	962	173
3	14	2619	471
3	15	4767	858
3	16	4501	810
3	17	4506	811
3	18	2539	457
3	19	2340	421
3	20	2071	372
4	0	1565	281
4	1	1404	252
4	2	1071	192
4	3	1124	202
4	4	0	0
4	5	490	88
4	6	706	127
4	7	1015	182
4	8	1039	187
4	9	1653	297
4	10	1703	306
4	11	2756	496
4	12	2857	514
4	13	2078	374
4	14	3743	673
4	15	5879	1058
4	16	5615	1010
4	17	5597	1007
4	18	3651	657
4	19	3395	611
4	20	3115	560
5	0	1938	348
5	1	1822	327
5	2	1113	200
5	3	1467	264
5	4	490	88
5	5	0	0
5	6	367	66
5	7	552	99
5	8	1264	227
5	9	1783	320
5	10	2023	364
5	11	2943	529
5	12	3148	566
5	13	2427	436
5	14	4051	729
5	15	6128	1103
5	16	5871	1056
5	17	5811	1045
5	18	3913	704
5	19	3588	645
5	20	3304	594
6	0	2250	405
6	1	2106	379
6	2	852	153
6	3	1790	322
6	4	706	127
6	5	367	66
6	6	0	0
6	7	696	125
6	8	1618	291
6	9	2150	387
6	10	2358	424
6	11	3308	595
6	12	3495	629
6	13	2752	495
6	14	4394	790
6	15	6487	1167
6	16	6229	1121
6	17	6175	1111
6	18	4268	768
6	19	3953	711
6	20	3669	660
7	0	2251	405
7	1	2194	394
7	2	1548	278
7	3	1775	319
7	4	1015	182
7	5	552	99
7	6	696	125
7	7	0	0
7	8	1476	265
7	9	1836	330
7	10	2270	408
7	11	3000	540
7	12	3324	598
7	13	2692	484
7	14	4230	761
7	15	6212	1118
7	16	5966	1073
7	17	5853	1053
7	18	4037	726
7	19	3636	654
7	20	3353	603
8	0	813	146
8	1	860	154
8	2	2105	378
8	3	388	69
8	4	1039	187
8	5	1264	227
8	6	1618	291
8	7	1476	265
8	8	0	0
8	9	646	116
8	10	794	142
8	11	1718	309
8	12	1886	339
8	13	1216	218
8	14	2791	502
8	15	4871	876
8	16	4612	830
8	17	4570	822
8	18	2651	477
8	19	2359	424
8	20	2078	374
9	0	1019	183
9	1	1222	219
9	2	2724	490
9	3	861	154
9	4	1653	297
9	5	1783	320
9	6	2150	387
9	7	1836	330
9	8	646	116
9	9	0	0
9	10	798	143
9	11	1171	210
9	12	1536	276
9	13	1149	206
9	14	2428	437
9	15	4380	788
9	16	4131	743
9	17	4038	726
9	18	2205	396
9	19	1814	326
9	20	1529	275
10	0	300	54
10	1	586	105
10	2	2704	486
10	3	580	104
10	4	1703	306
10	5	2023	364
10	6	2358	424
10	7	2270	408
10	8	794	142
10	9	798	143
10	10	0	0
10	11	1229	221
10	12	1157	208
10	13	424	76
10	14	2041	367
10	15	4190	754
10	16	3922	705
10	17	3940	709
10	18	1963	353
10	19	1808	325
10	20	1553	279
11	0	1517	273
11	1	1809	325
11	2	3816	686
11	3	1724	310
11	4	2756	496
11	5	2943	529
11	6	3308	595
11	7	3000	540
11	8	1718	309
11	9	1171	210
11	10	1229	221
11	11	0	0
11	12	727	130
11	13	1166	209
11	14	1415	254
11	15	3212	578
11	16	2967	534
11	17	2869	516
11	18	1091	196
11	19	645	116
11	20	362	65
12	0	1359	244
12	1	1624	292
12	2	3858	694
12	3	1736	312
12	4	2857	514
12	5	3148	566
12	6	3495	629
12	7	3324	598
12	8	1886	339
12	9	1536	276
12	10	1157	208
12	11	727	130
12	12	0	0
12	13	852	153
12	14	907	163
12	15	3036	546
12	16	2767	498
12	17	2812	506
12	18	817	147
12	19	892	160
12	20	773	139
13	0	524	94
13	1	773	139
13	2	3036	546
13	3	962	173
13	4	2078	374
13	5	2427	436
13	6	2752	495
13	7	2692	484
13	8	1216	218
13	9	1149	206
13	10	424	76
13	11	1166	209
13	12	852	153
13	13	0	0
13	14	1680	302
13	15	3873	697
13	16	3601	648
13	17	3663	659
13	18	1668	300
13	19	1641	295
13	20	1425	256
14	0	2204	396
14	1	2440	439
14	2	4717	849
14	3	2619	471
14	4	3743	673
14	5	4051	729
14	6	4394	790
14	7	4230	761
14	8	2791	502
14	9	2428	437
14	10	2041	367
14	11	1415	254
14	12	907	163
14	13	1680	302
14	14	0	0
14	15	2222	399
14	16	1946	350
14	17	2103	378
14	18	453	81
14	19	1083	194
14	20	1211	217
